Manufacturer,Model,Engine size,Fuel type,Price
Toyota,Yaris,1.4,Hybrid,19942
VW,Golf,1.8,Hybrid,5810
Ford,Focus,1.4,Diesel,24721
Toyota,Yaris,1.0,Petrol,737
VW,Polo,1.0,Petrol,14089
Toyota,RAV4,1.8,Petrol,52908
VW,Golf,2.0,Petrol,2741
Ford,Focus,2.0,Petrol,4855
Toyota,RAV4,2.0,Hybrid,15441
Ford,Fiesta,1.4,Petrol,7831
VW,Golf,1.6,Petrol,1967
Toyota,RAV4,2.2,Hybrid,43415
Toyota,RAV4,2.0,Hybrid,5129
BMW,M5,4.0,Petrol,60859
VW,Polo,1.6,Petrol,4668
BMW,M5,5.0,Petrol,91415
VW,Polo,1.6,Petrol,13537
VW,Polo,1.4,Petrol,7067
Toyota,RAV4,1.8,Hybrid,50215
Ford,Focus,2.0,Petrol,6273
Ford,Fiesta,1.0,Petrol,994
Ford,Focus,1.4,Petrol,13169
Ford,Mondeo,1.4,Diesel,28904
VW,Golf,1.2,Petrol,1420
VW,Polo,1.4,Petrol,4833
Toyota,Yaris,1.0,Hybrid,10802
VW,Passat,1.4,Diesel,18080
Ford,Mondeo,1.4,Diesel,5504
Toyota,Yaris,1.2,Petrol,11861
Ford,Mondeo,1.4,Diesel,33119
VW,Polo,1.2,Petrol,1460
Toyota,Prius,1.8,Hybrid,949
VW,Polo,1.0,Petrol,1846
BMW,M5,4.4,Petrol,39453
BMW,M5,4.4,Petrol,24571
Porsche,Cayenne,3.0,Petrol,39031
Ford,Mondeo,1.6,Hybrid,40482
Porsche,911,3.0,Petrol,77091
Toyota,Yaris,1.0,Petrol,11780
Toyota,Yaris,1.0,Petrol,3754
Ford,Mondeo,1.8,Diesel,33172
Ford,Mondeo,1.4,Diesel,3364
Toyota,Prius,1.4,Hybrid,2658
Ford,Focus,2.0,Petrol,8773
VW,Golf,1.4,Diesel,7710
VW,Polo,2.0,Petrol,731
VW,Golf,1.2,Hybrid,3069
Ford,Focus,2.0,Diesel,4786
Toyota,Prius,1.4,Hybrid,1523
Toyota,RAV4,2.2,Hybrid,23140
VW,Golf,2.0,Petrol,32650
VW,Passat,1.4,Diesel,10605
Ford,Focus,2.0,Petrol,25884
VW,Passat,2.0,Petrol,9749
Ford,Fiesta,1.4,Petrol,6011
Toyota,Prius,1.8,Hybrid,8052
VW,Polo,1.4,Petrol,2884
Porsche,911,3.0,Petrol,5344
Ford,Mondeo,1.6,Diesel,4217
Toyota,Yaris,1.4,Hybrid,7076
Ford,Focus,1.0,Petrol,347
VW,Passat,2.0,Diesel,8564
Porsche,911,2.6,Petrol,17702
VW,Golf,1.8,Petrol,2412
VW,Golf,1.8,Petrol,12942
Ford,Focus,2.0,Diesel,6417
Ford,Focus,1.6,Petrol,7575
Porsche,718 Cayman,2.0,Petrol,54090
VW,Polo,1.6,Diesel,5015
Ford,Mondeo,1.6,Diesel,17978
Toyota,Yaris,1.0,Petrol,2045
Ford,Focus,1.0,Petrol,26712
Toyota,RAV4,2.2,Hybrid,19019
Toyota,Yaris,1.4,Petrol,3718
Ford,Focus,1.4,Petrol,4782
Porsche,718 Cayman,4.0,Petrol,5438
BMW,M5,4.4,Petrol,118474
VW,Polo,1.4,Petrol,1948
BMW,X3,3.0,Diesel,49606
Toyota,Yaris,1.2,Petrol,18326
Toyota,RAV4,2.4,Hybrid,3359
Toyota,RAV4,2.4,Petrol,21637
VW,Golf,1.4,Petrol,3010
VW,Passat,1.6,Petrol,3125
Ford,Focus,1.0,Petrol,33627
BMW,Z4,2.4,Petrol,4294
VW,Polo,1.0,Petrol,1229
Toyota,Prius,1.0,Hybrid,12446
Toyota,Yaris,1.2,Hybrid,7167
Ford,Fiesta,1.4,Petrol,384
Toyota,Yaris,1.4,Petrol,12174
VW,Passat,1.6,Diesel,12083
VW,Polo,1.0,Petrol,1491
Toyota,Yaris,1.2,Petrol,1892
Ford,Mondeo,2.0,Hybrid,4074
Toyota,Prius,1.0,Hybrid,882
BMW,X3,2.0,Diesel,11999
Toyota,Prius,1.0,Hybrid,5060
Ford,Mondeo,2.0,Diesel,11556
BMW,M5,4.0,Petrol,12574
Ford,Fiesta,1.4,Petrol,2739
VW,Golf,1.6,Petrol,2309
VW,Polo,1.0,Petrol,1335
Ford,Focus,1.8,Petrol,4332
VW,Polo,1.4,Petrol,2352
Ford,Mondeo,1.6,Diesel,22621
Porsche,718 Cayman,4.0,Petrol,13935
Ford,Fiesta,1.4,Petrol,13615
Ford,Fiesta,1.0,Petrol,3732
Ford,Mondeo,1.6,Petrol,13432
Toyota,Yaris,1.2,Petrol,1861
Ford,Focus,1.6,Petrol,4856
Ford,Focus,1.6,Diesel,49870
Toyota,RAV4,2.4,Hybrid,13154
Toyota,RAV4,1.8,Hybrid,34655
VW,Polo,1.0,Petrol,777
Toyota,Prius,1.8,Hybrid,3218
VW,Polo,1.4,Petrol,1394
Toyota,RAV4,2.2,Hybrid,51898
VW,Passat,1.8,Diesel,4296
BMW,M5,4.4,Petrol,48487
VW,Passat,2.0,Diesel,18680
Ford,Mondeo,1.8,Diesel,1659
Ford,Mondeo,1.8,Diesel,4239
Toyota,Yaris,1.2,Hybrid,2633
Ford,Mondeo,1.4,Diesel,19668
Ford,Mondeo,1.4,Diesel,32057
BMW,Z4,2.2,Petrol,17133
Toyota,RAV4,2.2,Hybrid,43702
Ford,Mondeo,1.4,Diesel,9500
VW,Passat,1.6,Petrol,5963
Ford,Mondeo,2.0,Diesel,56459
VW,Golf,1.4,Petrol,10825
Ford,Mondeo,1.6,Diesel,27354
VW,Golf,1.4,Diesel,5902
VW,Passat,1.4,Petrol,769
Toyota,Prius,1.0,Hybrid,23011
Toyota,Prius,1.4,Hybrid,18232
Toyota,Yaris,1.0,Petrol,4880
Toyota,RAV4,2.2,Hybrid,1142
Ford,Mondeo,1.6,Diesel,30075
Toyota,RAV4,1.8,Hybrid,32948
Ford,Mondeo,1.6,Petrol,989
Porsche,Cayenne,4.0,Petrol,10699
Toyota,Prius,1.8,Hybrid,9998
VW,Golf,1.2,Diesel,2682
Ford,Fiesta,1.0,Diesel,1019
Porsche,718 Cayman,4.0,Petrol,2140
VW,Passat,1.4,Diesel,264
VW,Passat,1.4,Diesel,3838
VW,Golf,1.6,Petrol,1037
Ford,Mondeo,1.6,Diesel,48982
VW,Golf,2.0,Diesel,30509
VW,Polo,1.6,Petrol,8531
VW,Golf,2.0,Petrol,25745
VW,Passat,1.4,Diesel,549
BMW,Z4,2.2,Petrol,1806
Ford,Fiesta,1.2,Petrol,1190
Toyota,RAV4,2.0,Hybrid,9666
Toyota,Yaris,1.2,Hybrid,1640
Toyota,Prius,1.0,Hybrid,4571
VW,Polo,1.4,Petrol,17342
BMW,M5,5.0,Petrol,22668
VW,Golf,1.4,Petrol,14925
VW,Polo,1.6,Petrol,12102
VW,Golf,1.6,Petrol,5075
VW,Polo,2.0,Petrol,954
BMW,M5,4.0,Petrol,44836
Porsche,911,3.0,Petrol,63310
Toyota,Prius,1.8,Hybrid,44797
Toyota,Yaris,1.4,Hybrid,6209
BMW,Z4,2.4,Petrol,60317
BMW,Z4,3.0,Petrol,1477
Ford,Focus,1.4,Petrol,23449
VW,Polo,1.4,Petrol,4129
Toyota,Prius,1.8,Hybrid,1569
Ford,Focus,1.6,Petrol,4869
Toyota,Yaris,1.2,Petrol,9168
VW,Polo,1.0,Petrol,2132
Ford,Focus,1.6,Petrol,1944
Porsche,Cayenne,3.0,Petrol,16004
Toyota,Prius,1.8,Hybrid,15075
Ford,Fiesta,1.4,Petrol,673
VW,Passat,1.6,Diesel,1213
BMW,M5,4.0,Petrol,7064
Ford,Fiesta,1.0,Petrol,4460
VW,Passat,2.0,Diesel,8665
Ford,Fiesta,1.4,Petrol,485
Ford,Fiesta,1.2,Petrol,19119
Ford,Mondeo,1.8,Diesel,28286
Ford,Focus,1.4,Petrol,13881
Toyota,Yaris,1.4,Hybrid,29102
BMW,Z4,2.4,Petrol,46830
Ford,Focus,1.4,Petrol,2883
VW,Passat,1.6,Diesel,19033
Ford,Fiesta,1.0,Petrol,2762
BMW,M5,4.4,Petrol,9184
Ford,Mondeo,1.8,Diesel,10853
Porsche,911,2.2,Petrol,8241
VW,Polo,1.2,Petrol,19135
VW,Passat,2.0,Diesel,3218
Porsche,911,2.2,Petrol,6851
Ford,Focus,1.0,Petrol,6582
Ford,Focus,1.6,Petrol,4005
BMW,Z4,2.0,Petrol,4636
Toyota,Yaris,1.2,Hybrid,13024
Toyota,Yaris,1.2,Hybrid,8770
Toyota,Prius,1.4,Hybrid,9156
VW,Polo,1.2,Petrol,6014
VW,Passat,2.0,Diesel,9137
VW,Golf,2.0,Petrol,1445
VW,Golf,2.0,Diesel,5119
BMW,X3,2.0,Petrol,27457
Ford,Fiesta,1.4,Petrol,25347
Toyota,Prius,1.8,Hybrid,5816
Ford,Fiesta,1.2,Petrol,3143
VW,Polo,1.4,Petrol,1749
Ford,Focus,1.6,Petrol,694
Porsche,911,2.6,Petrol,21707
Ford,Mondeo,1.6,Petrol,6159
Toyota,Prius,1.4,Hybrid,2049
VW,Polo,1.2,Petrol,4561
Toyota,Yaris,1.4,Petrol,9067
Toyota,Prius,1.8,Hybrid,1512
Porsche,718 Cayman,4.0,Petrol,45357
Toyota,RAV4,1.8,Hybrid,17732
VW,Golf,1.8,Hybrid,1702
Porsche,718 Cayman,2.4,Petrol,46644
Toyota,Yaris,1.0,Petrol,178
Ford,Mondeo,1.4,Diesel,3134
Toyota,Yaris,1.2,Petrol,7229
Ford,Focus,1.6,Diesel,10659
VW,Golf,1.8,Hybrid,30239
Toyota,RAV4,1.8,Hybrid,30785
Toyota,RAV4,1.8,Hybrid,2697
Toyota,RAV4,2.0,Hybrid,4361
VW,Golf,1.4,Hybrid,4126
BMW,X3,2.0,Diesel,27731
Toyota,Prius,1.4,Hybrid,2106
Porsche,718 Cayman,2.0,Petrol,24511
VW,Polo,1.4,Petrol,2330
BMW,M5,4.4,Petrol,7091
Ford,Fiesta,1.2,Petrol,9014
Porsche,Cayenne,3.5,Diesel,14668
VW,Passat,1.6,Diesel,5800
VW,Golf,1.4,Petrol,27379
VW,Polo,1.2,Petrol,746
BMW,X3,2.0,Diesel,34147
Porsche,718 Cayman,4.0,Petrol,5991
VW,Golf,1.6,Diesel,2893
Ford,Fiesta,1.2,Petrol,2033
Toyota,RAV4,2.0,Hybrid,76303
VW,Passat,1.4,Diesel,6374
VW,Golf,1.8,Hybrid,20768
Ford,Mondeo,1.6,Diesel,2951
Toyota,Yaris,1.2,Petrol,26565
Porsche,Cayenne,2.6,Diesel,16789
Toyota,RAV4,2.0,Hybrid,52923
Ford,Mondeo,1.8,Diesel,22247
Porsche,718 Cayman,2.4,Petrol,2395
Toyota,RAV4,2.0,Hybrid,5640
Ford,Focus,1.4,Petrol,3403
Toyota,RAV4,2.2,Hybrid,39577
Toyota,RAV4,2.4,Hybrid,6664
Toyota,Prius,1.8,Hybrid,1254
Toyota,Prius,1.8,Hybrid,28437
Toyota,RAV4,2.0,Petrol,6923
Toyota,RAV4,2.0,Hybrid,17071
VW,Passat,1.4,Petrol,482
Ford,Focus,2.0,Diesel,12248
Toyota,RAV4,2.4,Hybrid,29212
VW,Passat,2.0,Diesel,5962
Ford,Fiesta,1.2,Petrol,1901
Ford,Mondeo,1.8,Diesel,18987
VW,Golf,1.2,Petrol,5586
VW,Golf,1.4,Petrol,414
Toyota,RAV4,2.0,Petrol,35379
Toyota,Yaris,1.4,Hybrid,38901
Ford,Mondeo,1.8,Diesel,28875
Ford,Focus,1.0,Petrol,25660
Toyota,RAV4,2.2,Hybrid,20606
VW,Polo,1.6,Petrol,14112
VW,Polo,1.4,Petrol,16837
Toyota,Yaris,1.0,Hybrid,5050
VW,Passat,2.0,Petrol,8819
BMW,Z4,2.4,Petrol,34025
Ford,Mondeo,1.4,Diesel,1688
VW,Golf,1.6,Hybrid,6919
VW,Golf,1.4,Diesel,534
VW,Polo,1.6,Petrol,10885
VW,Passat,1.8,Petrol,32909
Ford,Mondeo,1.8,Diesel,25483
Toyota,RAV4,1.8,Petrol,5458
VW,Golf,1.8,Petrol,21892
Toyota,Yaris,1.0,Hybrid,13543
Toyota,RAV4,2.2,Hybrid,45312
VW,Passat,2.0,Diesel,544
BMW,X3,2.4,Diesel,6871
Toyota,RAV4,2.4,Hybrid,4997
Ford,Focus,1.0,Petrol,15484
Toyota,Yaris,1.4,Petrol,3514
VW,Golf,1.8,Petrol,39459
Toyota,RAV4,2.4,Hybrid,15867
Toyota,Prius,1.8,Hybrid,14287
Toyota,RAV4,1.8,Hybrid,21497
Ford,Focus,1.0,Petrol,7017
VW,Polo,1.4,Diesel,13923
Toyota,RAV4,1.8,Hybrid,2693
VW,Golf,1.2,Petrol,21213
Porsche,911,2.2,Petrol,91965
Toyota,Yaris,1.4,Hybrid,5434
Porsche,Cayenne,4.0,Petrol,18556
Toyota,RAV4,2.0,Hybrid,54914
Ford,Mondeo,1.4,Diesel,4418
VW,Polo,1.2,Petrol,3223
Toyota,Yaris,1.0,Hybrid,7671
Ford,Mondeo,2.0,Diesel,38517
Toyota,Prius,1.4,Hybrid,2024
VW,Golf,1.4,Petrol,4427
Ford,Focus,1.0,Petrol,11093
Ford,Focus,1.4,Petrol,7528
Toyota,Prius,1.0,Hybrid,1903
Toyota,RAV4,1.8,Hybrid,21350
VW,Golf,1.2,Petrol,8602
BMW,Z4,2.4,Petrol,13326
Toyota,RAV4,2.0,Hybrid,10382
Toyota,Yaris,1.4,Hybrid,25744
Toyota,Yaris,1.2,Petrol,9261
VW,Polo,1.4,Petrol,955
Toyota,RAV4,2.2,Hybrid,48228
VW,Golf,1.4,Petrol,764
VW,Passat,1.6,Diesel,378
Ford,Focus,1.6,Petrol,3674
Ford,Mondeo,1.8,Diesel,37433
BMW,M5,5.0,Petrol,12001
Ford,Focus,1.0,Diesel,17093
Ford,Fiesta,1.0,Petrol,170
Toyota,Yaris,1.4,Petrol,22227
Porsche,718 Cayman,2.4,Petrol,5312
VW,Passat,1.4,Diesel,6576
Toyota,Prius,1.8,Hybrid,2443
Ford,Fiesta,1.0,Petrol,3203
VW,Passat,2.0,Diesel,7234
Ford,Focus,1.6,Petrol,29130
VW,Passat,2.0,Diesel,57759
VW,Golf,1.6,Petrol,13162
Toyota,Prius,1.0,Hybrid,12372
VW,Golf,2.0,Petrol,6024
VW,Golf,1.6,Petrol,5011
Ford,Fiesta,1.2,Petrol,3516
Toyota,Prius,1.8,Hybrid,17550
Porsche,718 Cayman,2.4,Petrol,8020
Toyota,Yaris,1.0,Hybrid,26099
VW,Polo,1.2,Petrol,7614
Toyota,Prius,1.4,Hybrid,9994
Toyota,Prius,1.4,Hybrid,39212
VW,Golf,1.4,Petrol,7384
VW,Golf,2.0,Petrol,774
Ford,Fiesta,1.4,Petrol,3002
Toyota,Yaris,1.2,Hybrid,8002
Toyota,Prius,1.4,Hybrid,28468
VW,Golf,1.6,Petrol,1981
Ford,Focus,1.8,Petrol,19668
Toyota,RAV4,2.2,Petrol,12003
Ford,Focus,1.6,Hybrid,33957
VW,Golf,2.0,Diesel,31722
Ford,Mondeo,1.8,Diesel,3537
VW,Polo,2.0,Petrol,1345
Toyota,Yaris,1.4,Hybrid,19664
Toyota,Prius,1.8,Hybrid,1485
Ford,Fiesta,1.2,Petrol,3643
VW,Polo,1.2,Petrol,6448
VW,Passat,2.0,Diesel,16624
Porsche,Cayenne,3.5,Petrol,888
Ford,Mondeo,1.6,Petrol,8941
Toyota,RAV4,2.0,Hybrid,8835
Ford,Focus,1.6,Petrol,10304
VW,Polo,1.0,Petrol,14774
Ford,Mondeo,2.0,Petrol,6570
Ford,Mondeo,1.8,Diesel,25681
Toyota,Prius,1.4,Hybrid,1142
VW,Polo,1.0,Petrol,8303
Toyota,Prius,1.0,Hybrid,6167
VW,Polo,1.6,Petrol,3141
BMW,Z4,2.2,Petrol,6105
Toyota,RAV4,1.8,Hybrid,2705
Ford,Focus,1.0,Petrol,24582
Porsche,911,3.0,Petrol,19433
Toyota,Yaris,1.0,Hybrid,5384
Ford,Fiesta,1.2,Diesel,8723
Porsche,Cayenne,3.0,Diesel,78873
Ford,Focus,1.4,Petrol,33821
VW,Polo,1.2,Petrol,1735
Toyota,Yaris,1.4,Petrol,4162
Ford,Mondeo,1.6,Diesel,36852
Toyota,Prius,1.4,Hybrid,11191
VW,Polo,1.6,Petrol,3212
BMW,Z4,2.0,Petrol,1258
Ford,Fiesta,1.4,Petrol,342
Porsche,718 Cayman,2.4,Petrol,2355
BMW,X3,2.0,Petrol,2076
VW,Passat,1.8,Diesel,18821
BMW,M5,4.4,Petrol,10780
Ford,Focus,1.4,Petrol,30158
BMW,Z4,3.0,Petrol,4509
Ford,Fiesta,1.0,Petrol,6317
Toyota,Yaris,1.0,Petrol,23473
Ford,Focus,2.0,Petrol,11520
Toyota,RAV4,2.0,Hybrid,1508
BMW,Z4,2.2,Petrol,44415
VW,Passat,1.4,Diesel,9344
VW,Golf,2.0,Diesel,14316
VW,Passat,1.4,Diesel,6429
Ford,Mondeo,1.6,Diesel,15593
VW,Golf,1.2,Petrol,28309
Ford,Mondeo,1.8,Hybrid,28228
Toyota,Yaris,1.2,Petrol,3178
Ford,Mondeo,1.8,Petrol,5607
BMW,M5,5.0,Petrol,52387
VW,Passat,1.6,Diesel,2007
Toyota,RAV4,2.0,Hybrid,6818
Ford,Fiesta,1.2,Petrol,19725
Porsche,Cayenne,3.0,Petrol,3410
VW,Golf,1.2,Diesel,17658
VW,Polo,1.2,Petrol,3381
Toyota,RAV4,2.0,Hybrid,29179
Toyota,RAV4,1.8,Hybrid,15805
Ford,Focus,2.0,Diesel,15630
Ford,Focus,1.4,Petrol,27892
Ford,Fiesta,1.2,Diesel,26189
Toyota,RAV4,2.2,Hybrid,2713
VW,Polo,2.0,Petrol,33748
Ford,Fiesta,1.0,Petrol,14997
Toyota,RAV4,2.0,Hybrid,6443
Ford,Focus,1.4,Petrol,3311
Toyota,RAV4,1.8,Hybrid,14453
Toyota,Prius,1.0,Hybrid,9973
VW,Passat,1.6,Diesel,8585
Toyota,Yaris,1.4,Petrol,914
Ford,Focus,1.0,Petrol,8556
Porsche,Cayenne,3.0,Petrol,13435
Toyota,RAV4,2.2,Hybrid,23843
BMW,M5,5.0,Petrol,18006
VW,Golf,1.4,Petrol,1097
Toyota,RAV4,2.4,Hybrid,58275
Porsche,718 Cayman,4.0,Petrol,2016
Ford,Mondeo,1.4,Petrol,3406
VW,Golf,1.2,Petrol,5829
Toyota,RAV4,2.2,Hybrid,15238
