Manufacturer,Model,Engine size,Fuel type,Price,is_Premium_Brand,Premium_Fuel_Type
VW,Passat,1.8,Diesel,2526,0,0
Toyota,Yaris,1.2,Petrol,947,0,0
Ford,Focus,1.8,Petrol,40336,0,0
Ford,Mondeo,1.6,Diesel,28435,0,0
Ford,Focus,1.0,Petrol,633,0,0
Ford,Mondeo,1.6,Diesel,10008,0,0
BMW,Z4,2.4,Petrol,6532,1,0
Ford,Fiesta,1.2,Petrol,1901,0,0
Toyota,Yaris,1.0,Petrol,9591,0,0
VW,Passat,1.4,Diesel,15563,0,0
Ford,Focus,2.0,Petrol,4086,0,0
Ford,Mondeo,1.6,Hybrid,7247,0,1
VW,Passat,1.6,Diesel,36634,0,0
BMW,M5,4.4,Petrol,2956,1,0
Ford,Focus,1.4,Petrol,763,0,0
BMW,M5,4.4,Petrol,31711,1,0
Ford,Fiesta,1.0,Petrol,7859,0,0
Ford,Focus,1.8,Diesel,585,0,0
Toyota,Prius,1.8,Hybrid,5238,0,1
Ford,Fiesta,1.2,Petrol,6318,0,0
VW,Passat,1.6,Diesel,1229,0,0
VW,Passat,1.4,Diesel,39310,0,0
BMW,Z4,2.2,Petrol,40706,1,0
Toyota,RAV4,2.4,Petrol,66031,0,0
VW,Polo,1.6,Petrol,7878,0,0
Ford,Mondeo,1.6,Diesel,4132,0,0
Ford,Focus,1.6,Petrol,18269,0,0
VW,Passat,1.6,Diesel,16414,0,0
BMW,Z4,2.2,Petrol,26084,1,0
Toyota,RAV4,2.4,Petrol,40646,0,0
Porsche,911,3.5,Petrol,24378,1,0
VW,Golf,1.8,Diesel,23034,0,0
VW,Passat,1.6,Diesel,24207,0,0
BMW,Z4,2.4,Petrol,4671,1,0
Toyota,Prius,1.4,Hybrid,5040,0,1
BMW,M5,4.0,Petrol,19474,1,0
Toyota,RAV4,1.8,Hybrid,11398,0,1
VW,Golf,1.2,Diesel,8066,0,0
Ford,Focus,2.0,Petrol,14567,0,0
Toyota,Yaris,1.2,Hybrid,5959,0,1
VW,Golf,2.0,Diesel,22743,0,0
BMW,Z4,3.0,Petrol,26708,1,0
VW,Polo,1.0,Petrol,3036,0,0
Toyota,Yaris,1.0,Petrol,5438,0,0
VW,Passat,1.8,Petrol,12800,0,0
VW,Passat,1.6,Diesel,23677,0,0
Ford,Focus,1.6,Diesel,3704,0,0
Toyota,RAV4,1.8,Hybrid,3981,0,1
VW,Golf,1.6,Petrol,3988,0,0
Porsche,718 Cayman,2.4,Petrol,1183,1,0
BMW,X3,3.0,Petrol,53379,1,0
Toyota,Yaris,1.2,Petrol,1145,0,0
BMW,M5,4.4,Petrol,9255,1,0
Ford,Focus,1.8,Petrol,6094,0,0
VW,Passat,1.6,Diesel,9345,0,0
Toyota,RAV4,1.8,Hybrid,19491,0,1
Toyota,Prius,1.8,Hybrid,16500,0,1
VW,Passat,2.0,Petrol,25482,0,0
Toyota,Prius,1.0,Hybrid,19023,0,1
BMW,X3,2.0,Diesel,44018,1,0
VW,Polo,2.0,Petrol,2778,0,0
VW,Passat,1.4,Diesel,9705,0,0
VW,Polo,1.4,Petrol,489,0,0
Porsche,Cayenne,2.6,Diesel,15069,1,0
Ford,Focus,1.4,Petrol,8039,0,0
Ford,Mondeo,1.6,Petrol,26053,0,0
VW,Passat,2.0,Petrol,2822,0,0
Porsche,718 Cayman,4.0,Petrol,70913,1,0
BMW,Z4,2.0,Petrol,14728,1,0
Ford,Focus,2.0,Petrol,2025,0,0
Ford,Mondeo,1.8,Diesel,7267,0,0
BMW,X3,3.0,Petrol,27342,1,0
Toyota,RAV4,2.0,Petrol,19881,0,0
VW,Polo,1.4,Petrol,11916,0,0
Ford,Fiesta,1.4,Petrol,22982,0,0
VW,Golf,1.2,Diesel,8174,0,0
BMW,Z4,2.0,Petrol,1246,1,0
Porsche,Cayenne,2.6,Petrol,10667,1,0
Ford,Mondeo,1.8,Diesel,9481,0,0
Ford,Fiesta,1.4,Petrol,14854,0,0
VW,Polo,2.0,Petrol,23636,0,0
Toyota,RAV4,1.8,Hybrid,68163,0,1
VW,Polo,2.0,Petrol,1771,0,0
Toyota,Yaris,1.0,Petrol,8721,0,0
Ford,Mondeo,2.0,Diesel,28482,0,0
VW,Polo,1.0,Petrol,1062,0,0
Ford,Fiesta,1.0,Petrol,6768,0,0
Toyota,RAV4,2.2,Hybrid,24685,0,1
VW,Passat,2.0,Diesel,3416,0,0
Ford,Focus,2.0,Diesel,20153,0,0
Toyota,Prius,1.0,Hybrid,8671,0,1
Ford,Mondeo,1.6,Diesel,18224,0,0
VW,Passat,1.6,Diesel,4129,0,0
Toyota,RAV4,2.4,Hybrid,25232,0,1
Porsche,Cayenne,2.6,Diesel,76182,1,0
VW,Polo,1.2,Diesel,19649,0,0
Toyota,Yaris,1.2,Petrol,2914,0,0
Porsche,718 Cayman,2.0,Petrol,3542,1,0
Toyota,Prius,1.0,Hybrid,5001,0,1
Ford,Mondeo,1.8,Diesel,30886,0,0
Ford,Focus,1.0,Diesel,6429,0,0
Ford,Mondeo,1.6,Diesel,1614,0,0
Toyota,Prius,1.4,Hybrid,19139,0,1
Ford,Focus,2.0,Diesel,5272,0,0
BMW,Z4,2.4,Petrol,4558,1,0
BMW,M5,4.4,Petrol,20664,1,0
Ford,Mondeo,1.4,Diesel,37720,0,0
VW,Golf,1.4,Diesel,16365,0,0
VW,Golf,1.4,Diesel,4049,0,0
VW,Polo,1.2,Petrol,3670,0,0
VW,Golf,2.0,Petrol,1528,0,0
Toyota,Yaris,1.0,Hybrid,19025,0,1
Ford,Focus,2.0,Diesel,2930,0,0
Ford,Mondeo,1.6,Diesel,17370,0,0
Ford,Mondeo,1.8,Diesel,14195,0,0
VW,Golf,1.6,Petrol,3304,0,0
VW,Golf,1.6,Petrol,19835,0,0
Toyota,Yaris,1.2,Petrol,4947,0,0
Toyota,Yaris,1.0,Petrol,1517,0,0
VW,Passat,1.8,Diesel,12073,0,0
Ford,Fiesta,1.2,Petrol,7142,0,0
Toyota,Yaris,1.4,Petrol,8043,0,0
Toyota,RAV4,2.0,Hybrid,8299,0,1
Toyota,RAV4,2.2,Hybrid,33453,0,1
VW,Passat,1.6,Diesel,2584,0,0
BMW,X3,3.0,Diesel,3510,1,0
VW,Passat,1.4,Diesel,18256,0,0
Toyota,Prius,1.8,Hybrid,33820,0,1
VW,Passat,1.6,Petrol,19428,0,0
Porsche,Cayenne,2.6,Diesel,50028,1,0
Ford,Fiesta,1.0,Petrol,1916,0,0
Ford,Fiesta,1.2,Petrol,2933,0,0
Toyota,Yaris,1.0,Hybrid,36086,0,1
Toyota,Yaris,1.4,Hybrid,3468,0,1
VW,Polo,1.4,Petrol,23449,0,0
Toyota,Yaris,1.4,Hybrid,19942,0,1
VW,Golf,1.8,Hybrid,5810,0,1
Ford,Focus,1.4,Diesel,24721,0,0
Toyota,Yaris,1.0,Petrol,737,0,0
VW,Polo,1.0,Petrol,14089,0,0
Toyota,RAV4,1.8,Petrol,52908,0,0
VW,Golf,2.0,Petrol,2741,0,0
Ford,Focus,2.0,Petrol,4855,0,0
Toyota,RAV4,2.0,Hybrid,15441,0,1
Ford,Fiesta,1.4,Petrol,7831,0,0
VW,Golf,1.6,Petrol,1967,0,0
Toyota,RAV4,2.2,Hybrid,43415,0,1
Toyota,RAV4,2.0,Hybrid,5129,0,1
BMW,M5,4.0,Petrol,60859,1,0
VW,Polo,1.6,Petrol,4668,0,0
BMW,M5,5.0,Petrol,91415,1,0
VW,Polo,1.6,Petrol,13537,0,0
VW,Polo,1.4,Petrol,7067,0,0
Toyota,RAV4,1.8,Hybrid,50215,0,1
Ford,Focus,2.0,Petrol,6273,0,0
Ford,Fiesta,1.0,Petrol,994,0,0
Ford,Focus,1.4,Petrol,13169,0,0
Ford,Mondeo,1.4,Diesel,28904,0,0
VW,Golf,1.2,Petrol,1420,0,0
VW,Polo,1.4,Petrol,4833,0,0
Toyota,Yaris,1.0,Hybrid,10802,0,1
VW,Passat,1.4,Diesel,18080,0,0
Ford,Mondeo,1.4,Diesel,5504,0,0
Toyota,Yaris,1.2,Petrol,11861,0,0
Ford,Mondeo,1.4,Diesel,33119,0,0
VW,Polo,1.2,Petrol,1460,0,0
Toyota,Prius,1.8,Hybrid,949,0,1
VW,Polo,1.0,Petrol,1846,0,0
BMW,M5,4.4,Petrol,39453,1,0
BMW,M5,4.4,Petrol,24571,1,0
Porsche,Cayenne,3.0,Petrol,39031,1,0
Ford,Mondeo,1.6,Hybrid,40482,0,1
Porsche,911,3.0,Petrol,77091,1,0
Toyota,Yaris,1.0,Petrol,11780,0,0
Toyota,Yaris,1.0,Petrol,3754,0,0
Ford,Mondeo,1.8,Diesel,33172,0,0
Ford,Mondeo,1.4,Diesel,3364,0,0
Toyota,Prius,1.4,Hybrid,2658,0,1
Ford,Focus,2.0,Petrol,8773,0,0
VW,Golf,1.4,Diesel,7710,0,0
VW,Polo,2.0,Petrol,731,0,0
VW,Golf,1.2,Hybrid,3069,0,1
Ford,Focus,2.0,Diesel,4786,0,0
Toyota,Prius,1.4,Hybrid,1523,0,1
Toyota,RAV4,2.2,Hybrid,23140,0,1
VW,Golf,2.0,Petrol,32650,0,0
VW,Passat,1.4,Diesel,10605,0,0
Ford,Focus,2.0,Petrol,25884,0,0
VW,Passat,2.0,Petrol,9749,0,0
Ford,Fiesta,1.4,Petrol,6011,0,0
Toyota,Prius,1.8,Hybrid,8052,0,1
VW,Polo,1.4,Petrol,2884,0,0
Porsche,911,3.0,Petrol,5344,1,0
Ford,Mondeo,1.6,Diesel,4217,0,0
Toyota,Yaris,1.4,Hybrid,7076,0,1
Ford,Focus,1.0,Petrol,347,0,0
VW,Passat,2.0,Diesel,8564,0,0
Porsche,911,2.6,Petrol,17702,1,0
VW,Golf,1.8,Petrol,2412,0,0
VW,Golf,1.8,Petrol,12942,0,0
Ford,Focus,2.0,Diesel,6417,0,0
Ford,Focus,1.6,Petrol,7575,0,0
Porsche,718 Cayman,2.0,Petrol,54090,1,0
VW,Polo,1.6,Diesel,5015,0,0
Ford,Mondeo,1.6,Diesel,17978,0,0
Toyota,Yaris,1.0,Petrol,2045,0,0
Ford,Focus,1.0,Petrol,26712,0,0
Toyota,RAV4,2.2,Hybrid,19019,0,1
Toyota,Yaris,1.4,Petrol,3718,0,0
Ford,Focus,1.4,Petrol,4782,0,0
Porsche,718 Cayman,4.0,Petrol,5438,1,0
BMW,M5,4.4,Petrol,118474,1,0
VW,Polo,1.4,Petrol,1948,0,0
BMW,X3,3.0,Diesel,49606,1,0
Toyota,Yaris,1.2,Petrol,18326,0,0
Toyota,RAV4,2.4,Hybrid,3359,0,1
Toyota,RAV4,2.4,Petrol,21637,0,0
VW,Golf,1.4,Petrol,3010,0,0
VW,Passat,1.6,Petrol,3125,0,0
Ford,Focus,1.0,Petrol,33627,0,0
BMW,Z4,2.4,Petrol,4294,1,0
VW,Polo,1.0,Petrol,1229,0,0
Toyota,Prius,1.0,Hybrid,12446,0,1
Toyota,Yaris,1.2,Hybrid,7167,0,1
Ford,Fiesta,1.4,Petrol,384,0,0
Toyota,Yaris,1.4,Petrol,12174,0,0
VW,Passat,1.6,Diesel,12083,0,0
VW,Polo,1.0,Petrol,1491,0,0
Toyota,Yaris,1.2,Petrol,1892,0,0
Ford,Mondeo,2.0,Hybrid,4074,0,1
Toyota,Prius,1.0,Hybrid,882,0,1
BMW,X3,2.0,Diesel,11999,1,0
Toyota,Prius,1.0,Hybrid,5060,0,1
Ford,Mondeo,2.0,Diesel,11556,0,0
BMW,M5,4.0,Petrol,12574,1,0
Ford,Fiesta,1.4,Petrol,2739,0,0
VW,Golf,1.6,Petrol,2309,0,0
VW,Polo,1.0,Petrol,1335,0,0
Ford,Focus,1.8,Petrol,4332,0,0
VW,Polo,1.4,Petrol,2352,0,0
Ford,Mondeo,1.6,Diesel,22621,0,0
Porsche,718 Cayman,4.0,Petrol,13935,1,0
Ford,Fiesta,1.4,Petrol,13615,0,0
Ford,Fiesta,1.0,Petrol,3732,0,0
Ford,Mondeo,1.6,Petrol,13432,0,0
Toyota,Yaris,1.2,Petrol,1861,0,0
Ford,Focus,1.6,Petrol,4856,0,0
Ford,Focus,1.6,Diesel,49870,0,0
Toyota,RAV4,2.4,Hybrid,13154,0,1
Toyota,RAV4,1.8,Hybrid,34655,0,1
VW,Polo,1.0,Petrol,777,0,0
Toyota,Prius,1.8,Hybrid,3218,0,1
VW,Polo,1.4,Petrol,1394,0,0
Toyota,RAV4,2.2,Hybrid,51898,0,1
VW,Passat,1.8,Diesel,4296,0,0
BMW,M5,4.4,Petrol,48487,1,0
VW,Passat,2.0,Diesel,18680,0,0
Ford,Mondeo,1.8,Diesel,1659,0,0
Ford,Mondeo,1.8,Diesel,4239,0,0
Toyota,Yaris,1.2,Hybrid,2633,0,1
Ford,Mondeo,1.4,Diesel,19668,0,0
Ford,Mondeo,1.4,Diesel,32057,0,0
BMW,Z4,2.2,Petrol,17133,1,0
Toyota,RAV4,2.2,Hybrid,43702,0,1
Ford,Mondeo,1.4,Diesel,9500,0,0
VW,Passat,1.6,Petrol,5963,0,0
Ford,Mondeo,2.0,Diesel,56459,0,0
VW,Golf,1.4,Petrol,10825,0,0
Ford,Mondeo,1.6,Diesel,27354,0,0
VW,Golf,1.4,Diesel,5902,0,0
VW,Passat,1.4,Petrol,769,0,0
Toyota,Prius,1.0,Hybrid,23011,0,1
Toyota,Prius,1.4,Hybrid,18232,0,1
Toyota,Yaris,1.0,Petrol,4880,0,0
Toyota,RAV4,2.2,Hybrid,1142,0,1
Ford,Mondeo,1.6,Diesel,30075,0,0
Toyota,RAV4,1.8,Hybrid,32948,0,1
Ford,Mondeo,1.6,Petrol,989,0,0
Porsche,Cayenne,4.0,Petrol,10699,1,0
Toyota,Prius,1.8,Hybrid,9998,0,1
VW,Golf,1.2,Diesel,2682,0,0
Ford,Fiesta,1.0,Diesel,1019,0,0
Porsche,718 Cayman,4.0,Petrol,2140,1,0
VW,Passat,1.4,Diesel,264,0,0
VW,Passat,1.4,Diesel,3838,0,0
VW,Golf,1.6,Petrol,1037,0,0
Ford,Mondeo,1.6,Diesel,48982,0,0
VW,Golf,2.0,Diesel,30509,0,0
VW,Polo,1.6,Petrol,8531,0,0
VW,Golf,2.0,Petrol,25745,0,0
VW,Passat,1.4,Diesel,549,0,0
BMW,Z4,2.2,Petrol,1806,1,0
Ford,Fiesta,1.2,Petrol,1190,0,0
Toyota,RAV4,2.0,Hybrid,9666,0,1
Toyota,Yaris,1.2,Hybrid,1640,0,1
Toyota,Prius,1.0,Hybrid,4571,0,1
VW,Polo,1.4,Petrol,17342,0,0
BMW,M5,5.0,Petrol,22668,1,0
VW,Golf,1.4,Petrol,14925,0,0
VW,Polo,1.6,Petrol,12102,0,0
VW,Golf,1.6,Petrol,5075,0,0
VW,Polo,2.0,Petrol,954,0,0
BMW,M5,4.0,Petrol,44836,1,0
Porsche,911,3.0,Petrol,63310,1,0
Toyota,Prius,1.8,Hybrid,44797,0,1
Toyota,Yaris,1.4,Hybrid,6209,0,1
BMW,Z4,2.4,Petrol,60317,1,0
BMW,Z4,3.0,Petrol,1477,1,0
Ford,Focus,1.4,Petrol,23449,0,0
VW,Polo,1.4,Petrol,4129,0,0
Toyota,Prius,1.8,Hybrid,1569,0,1
Ford,Focus,1.6,Petrol,4869,0,0
Toyota,Yaris,1.2,Petrol,9168,0,0
VW,Polo,1.0,Petrol,2132,0,0
Ford,Focus,1.6,Petrol,1944,0,0
Porsche,Cayenne,3.0,Petrol,16004,1,0
Toyota,Prius,1.8,Hybrid,15075,0,1
Ford,Fiesta,1.4,Petrol,673,0,0
VW,Passat,1.6,Diesel,1213,0,0
BMW,M5,4.0,Petrol,7064,1,0
Ford,Fiesta,1.0,Petrol,4460,0,0
VW,Passat,2.0,Diesel,8665,0,0
Ford,Fiesta,1.4,Petrol,485,0,0
Ford,Fiesta,1.2,Petrol,19119,0,0
Ford,Mondeo,1.8,Diesel,28286,0,0
Ford,Focus,1.4,Petrol,13881,0,0
Toyota,Yaris,1.4,Hybrid,29102,0,1
BMW,Z4,2.4,Petrol,46830,1,0
Ford,Focus,1.4,Petrol,2883,0,0
VW,Passat,1.6,Diesel,19033,0,0
Ford,Fiesta,1.0,Petrol,2762,0,0
BMW,M5,4.4,Petrol,9184,1,0
Ford,Mondeo,1.8,Diesel,10853,0,0
Porsche,911,2.2,Petrol,8241,1,0
VW,Polo,1.2,Petrol,19135,0,0
VW,Passat,2.0,Diesel,3218,0,0
Porsche,911,2.2,Petrol,6851,1,0
Ford,Focus,1.0,Petrol,6582,0,0
Ford,Focus,1.6,Petrol,4005,0,0
BMW,Z4,2.0,Petrol,4636,1,0
Toyota,Yaris,1.2,Hybrid,13024,0,1
Toyota,Yaris,1.2,Hybrid,8770,0,1
Toyota,Prius,1.4,Hybrid,9156,0,1
VW,Polo,1.2,Petrol,6014,0,0
VW,Passat,2.0,Diesel,9137,0,0
VW,Golf,2.0,Petrol,1445,0,0
VW,Golf,2.0,Diesel,5119,0,0
BMW,X3,2.0,Petrol,27457,1,0
Ford,Fiesta,1.4,Petrol,25347,0,0
Toyota,Prius,1.8,Hybrid,5816,0,1
Ford,Fiesta,1.2,Petrol,3143,0,0
VW,Polo,1.4,Petrol,1749,0,0
Ford,Focus,1.6,Petrol,694,0,0
Porsche,911,2.6,Petrol,21707,1,0
Ford,Mondeo,1.6,Petrol,6159,0,0
Toyota,Prius,1.4,Hybrid,2049,0,1
VW,Polo,1.2,Petrol,4561,0,0
Toyota,Yaris,1.4,Petrol,9067,0,0
Toyota,Prius,1.8,Hybrid,1512,0,1
Porsche,718 Cayman,4.0,Petrol,45357,1,0
Toyota,RAV4,1.8,Hybrid,17732,0,1
VW,Golf,1.8,Hybrid,1702,0,1
Porsche,718 Cayman,2.4,Petrol,46644,1,0
Toyota,Yaris,1.0,Petrol,178,0,0
Ford,Mondeo,1.4,Diesel,3134,0,0
Toyota,Yaris,1.2,Petrol,7229,0,0
Ford,Focus,1.6,Diesel,10659,0,0
VW,Golf,1.8,Hybrid,30239,0,1
Toyota,RAV4,1.8,Hybrid,30785,0,1
Toyota,RAV4,1.8,Hybrid,2697,0,1
Toyota,RAV4,2.0,Hybrid,4361,0,1
VW,Golf,1.4,Hybrid,4126,0,1
BMW,X3,2.0,Diesel,27731,1,0
Toyota,Prius,1.4,Hybrid,2106,0,1
Porsche,718 Cayman,2.0,Petrol,24511,1,0
VW,Polo,1.4,Petrol,2330,0,0
BMW,M5,4.4,Petrol,7091,1,0
Ford,Fiesta,1.2,Petrol,9014,0,0
Porsche,Cayenne,3.5,Diesel,14668,1,0
VW,Passat,1.6,Diesel,5800,0,0
VW,Golf,1.4,Petrol,27379,0,0
VW,Polo,1.2,Petrol,746,0,0
BMW,X3,2.0,Diesel,34147,1,0
Porsche,718 Cayman,4.0,Petrol,5991,1,0
VW,Golf,1.6,Diesel,2893,0,0
Ford,Fiesta,1.2,Petrol,2033,0,0
Toyota,RAV4,2.0,Hybrid,76303,0,1
VW,Passat,1.4,Diesel,6374,0,0
VW,Golf,1.8,Hybrid,20768,0,1
Ford,Mondeo,1.6,Diesel,2951,0,0
Toyota,Yaris,1.2,Petrol,26565,0,0
Porsche,Cayenne,2.6,Diesel,16789,1,0
Toyota,RAV4,2.0,Hybrid,52923,0,1
Ford,Mondeo,1.8,Diesel,22247,0,0
Porsche,718 Cayman,2.4,Petrol,2395,1,0
Toyota,RAV4,2.0,Hybrid,5640,0,1
Ford,Focus,1.4,Petrol,3403,0,0
Toyota,RAV4,2.2,Hybrid,39577,0,1
Toyota,RAV4,2.4,Hybrid,6664,0,1
Toyota,Prius,1.8,Hybrid,1254,0,1
Toyota,Prius,1.8,Hybrid,28437,0,1
Toyota,RAV4,2.0,Petrol,6923,0,0
Toyota,RAV4,2.0,Hybrid,17071,0,1
VW,Passat,1.4,Petrol,482,0,0
Ford,Focus,2.0,Diesel,12248,0,0
Toyota,RAV4,2.4,Hybrid,29212,0,1
VW,Passat,2.0,Diesel,5962,0,0
Ford,Fiesta,1.2,Petrol,1901,0,0
Ford,Mondeo,1.8,Diesel,18987,0,0
VW,Golf,1.2,Petrol,5586,0,0
VW,Golf,1.4,Petrol,414,0,0
Toyota,RAV4,2.0,Petrol,35379,0,0
Toyota,Yaris,1.4,Hybrid,38901,0,1
Ford,Mondeo,1.8,Diesel,28875,0,0
Ford,Focus,1.0,Petrol,25660,0,0
Toyota,RAV4,2.2,Hybrid,20606,0,1
VW,Polo,1.6,Petrol,14112,0,0
VW,Polo,1.4,Petrol,16837,0,0
Toyota,Yaris,1.0,Hybrid,5050,0,1
VW,Passat,2.0,Petrol,8819,0,0
BMW,Z4,2.4,Petrol,34025,1,0
Ford,Mondeo,1.4,Diesel,1688,0,0
VW,Golf,1.6,Hybrid,6919,0,1
VW,Golf,1.4,Diesel,534,0,0
VW,Polo,1.6,Petrol,10885,0,0
VW,Passat,1.8,Petrol,32909,0,0
Ford,Mondeo,1.8,Diesel,25483,0,0
Toyota,RAV4,1.8,Petrol,5458,0,0
VW,Golf,1.8,Petrol,21892,0,0
Toyota,Yaris,1.0,Hybrid,13543,0,1
Toyota,RAV4,2.2,Hybrid,45312,0,1
VW,Passat,2.0,Diesel,544,0,0
BMW,X3,2.4,Diesel,6871,1,0
Toyota,RAV4,2.4,Hybrid,4997,0,1
Ford,Focus,1.0,Petrol,15484,0,0
Toyota,Yaris,1.4,Petrol,3514,0,0
VW,Golf,1.8,Petrol,39459,0,0
Toyota,RAV4,2.4,Hybrid,15867,0,1
Toyota,Prius,1.8,Hybrid,14287,0,1
Toyota,RAV4,1.8,Hybrid,21497,0,1
Ford,Focus,1.0,Petrol,7017,0,0
VW,Polo,1.4,Diesel,13923,0,0
Toyota,RAV4,1.8,Hybrid,2693,0,1
VW,Golf,1.2,Petrol,21213,0,0
Porsche,911,2.2,Petrol,91965,1,0
Toyota,Yaris,1.4,Hybrid,5434,0,1
Porsche,Cayenne,4.0,Petrol,18556,1,0
Toyota,RAV4,2.0,Hybrid,54914,0,1
Ford,Mondeo,1.4,Diesel,4418,0,0
VW,Polo,1.2,Petrol,3223,0,0
Toyota,Yaris,1.0,Hybrid,7671,0,1
Ford,Mondeo,2.0,Diesel,38517,0,0
Toyota,Prius,1.4,Hybrid,2024,0,1
VW,Golf,1.4,Petrol,4427,0,0
Ford,Focus,1.0,Petrol,11093,0,0
Ford,Focus,1.4,Petrol,7528,0,0
Toyota,Prius,1.0,Hybrid,1903,0,1
Toyota,RAV4,1.8,Hybrid,21350,0,1
VW,Golf,1.2,Petrol,8602,0,0
BMW,Z4,2.4,Petrol,13326,1,0
Toyota,RAV4,2.0,Hybrid,10382,0,1
Toyota,Yaris,1.4,Hybrid,25744,0,1
Toyota,Yaris,1.2,Petrol,9261,0,0
VW,Polo,1.4,Petrol,955,0,0
Toyota,RAV4,2.2,Hybrid,48228,0,1
VW,Golf,1.4,Petrol,764,0,0
VW,Passat,1.6,Diesel,378,0,0
Ford,Focus,1.6,Petrol,3674,0,0
Ford,Mondeo,1.8,Diesel,37433,0,0
BMW,M5,5.0,Petrol,12001,1,0
Ford,Focus,1.0,Diesel,17093,0,0
Ford,Fiesta,1.0,Petrol,170,0,0
Toyota,Yaris,1.4,Petrol,22227,0,0
Porsche,718 Cayman,2.4,Petrol,5312,1,0
VW,Passat,1.4,Diesel,6576,0,0
